,category,company
266,plus_five_ten,BSFT
267,minus_five,BRCD
268,minus_ten,BKD
269,plus_five,BAM
270,plus_five,BPY
271,minus_five,BRO
272,plus_five_ten,BRKR
273,minus_five_ten,BC
274,minus_five,BPL
275,minus_five,BKE
276,minus_five,BWLD
277,plus_five,BLDR
278,plus_five,BG
279,plus_five,BURL
280,plus_five_ten,BWXT
281,plus_five,BCR
282,minus_five_ten,CHRW
283,plus_five,CA
284,minus_five,CAB
285,minus_five,CABO
286,minus_five_ten,CBT
287,plus_five,CCMP
288,minus_five,COG
289,plus_ten,CACI
290,plus_five,CDNS
291,plus_five,CACQ
292,plus_ten,CZR
293,plus_five,CALM
294,minus_ten,CAA
295,minus_five,CAL
296,minus_five,CWT
297,plus_ten,ELY
298,minus_ten,CPE
299,minus_five,CPN
300,minus_ten,CBM
301,minus_five,CPT
302,minus_five,CPB
303,plus_five,CWH
304,minus_ten,CP
305,minus_five_ten,CMN
306,minus_five_ten,CBF
307,plus_five,COF
308,plus_ten,CAH
309,minus_five,CATM
310,minus_five_ten,CCP
311,minus_five,CSL
312,minus_ten,CG
313,plus_five,KMX
314,plus_five,CCL
315,plus_five_ten,CUK
316,minus_five,CRS
317,minus_ten,CRZO
318,plus_five,CRI
319,plus_five,CASY
320,minus_ten,CTLT
321,plus_five,CAT
322,minus_five_ten,CATY
323,minus_five_ten,CAVM
324,minus_five,CBL
325,plus_five,CBOE
326,minus_five_ten,CBG
327,plus_five,CBS
328,plus_five,CDK
329,minus_five,CDW
330,plus_five,CEB
331,minus_five,FUN
332,plus_five,CE
333,plus_five_ten,CELG
334,plus_ten,CNC
335,minus_five_ten,CDEV
336,plus_five,CNP
337,plus_five,CSFL
338,minus_five_ten,CTL
339,plus_five,CERN
340,plus_ten,CF
341,plus_five,CRL
342,minus_five,SCHW
343,minus_five,GTLS
344,minus_five,CHTR
345,minus_five,CAKE
346,plus_ten,CHE
347,minus_five_ten,CHFC
348,minus_five,CC
349,plus_five,CHMT
350,minus_ten,LNG
351,plus_five,CQP
352,plus_five,CQH
353,minus_five_ten,CHK
354,minus_five_ten,CHSP
355,plus_five,CVX
356,minus_five_ten,CBI
357,minus_ten,CHS
358,plus_ten,PLCE
359,minus_five,CIM
360,plus_ten,CBPO
361,plus_five,CMG
362,minus_five_ten,CHH
363,plus_five,CB
364,minus_five,CHD
365,minus_five,CHDN
366,plus_five,CIEN
367,plus_five,CI
368,minus_ten,CMCT
369,minus_ten,XEC
370,minus_ten,CMPR
371,plus_five,CINF
372,minus_five,CNK
373,plus_five,CTAS
374,plus_ten,CRUS
375,minus_five,CSCO
376,plus_five,CIT
377,minus_five_ten,C
378,plus_five,CFG
379,minus_five,CTXS
380,plus_five,CLC
381,minus_ten,CWEI
382,minus_five,CLH
383,minus_five,CCO
384,minus_ten,CLF
385,plus_five,CLX
386,plus_ten,CLVS
387,minus_five,CME
388,minus_five,CMS
389,plus_five,CNA
390,plus_five,CNO
391,plus_five,COH
392,plus_five,COKE
393,plus_five,KO
394,minus_five_ten,CDE
395,plus_five,CCOI
396,plus_five,CGNX
397,plus_five,CTSH
398,minus_five,CNS
399,plus_ten,COHR
400,plus_ten,CHRS
401,minus_ten,CFX
402,plus_five,CL
403,plus_five,CIGI
404,minus_five,CLNY
405,plus_five_ten,SFR
406,minus_five,COLB
407,plus_five,CPPL
408,plus_five,CXP
409,plus_five,COLM
410,plus_five,CMCSA
411,plus_five,CMA
412,minus_ten,FIX
413,minus_five_ten,CBSH
414,minus_five_ten,CMC
415,plus_five,COMM
416,plus_five,CSAL
417,plus_five,CBU
418,minus_five,CVLT
419,plus_five,CMP
420,plus_five,CSC
421,minus_five,SCOR
